principal_component,eigenvalue,explained_variance_ratio,cumulative_explained_variance_ratio,variant
PC12,1.2540214469020288,0.025015788657272428,0.6310168668386322,duplicate_cleaned_iqr_capped
PC13,1.1683160006121245,0.02330609753798413,0.6543229643766164,duplicate_cleaned_iqr_capped
PC14,1.109053157123535,0.022123895453959173,0.6764468598305756,duplicate_cleaned_iqr_capped
PC15,1.0733941723643436,0.021412553850773244,0.6978594136813489,duplicate_cleaned_iqr_capped
PC16,0.9704239085525473,0.019358456320094627,0.7172178700014434,duplicate_cleaned_iqr_capped
PC17,0.9562410685424616,0.019075530594120236,0.7362934005955637,duplicate_cleaned_iqr_capped
PC18,0.894064110012499,0.017835196421383353,0.754128597016947,duplicate_cleaned_iqr_capped
PC19,0.8546164685782045,0.01704827697627655,0.7711768739932235,duplicate_cleaned_iqr_capped
PC20,0.8470349131473935,0.01689703666948666,0.7880739106627102,duplicate_cleaned_iqr_capped
PC21,0.8043583126753966,0.016045704484813322,0.8041196151475235,duplicate_cleaned_iqr_capped
PC22,0.7434099667525188,0.014829879233671378,0.8189494943811949,duplicate_cleaned_iqr_capped
PC23,0.7168720445107097,0.014300488722971372,0.8332499831041663,duplicate_cleaned_iqr_capped
PC24,0.7016895018535325,0.013997620475119436,0.8472476035792857,duplicate_cleaned_iqr_capped
PC25,0.6446475050502739,0.012859720848167834,0.8601073244274536,duplicate_cleaned_iqr_capped
PC26,0.625356043701889,0.012474886026424279,0.872582210453878,duplicate_cleaned_iqr_capped
PC27,0.6060033435493957,0.012088829585237944,0.8846710400391159,duplicate_cleaned_iqr_capped
PC28,0.5550461661823967,0.011072312696525128,0.895743352735641,duplicate_cleaned_iqr_capped
PC29,0.5383620700608458,0.01073949077904883,0.9064828435146898,duplicate_cleaned_iqr_capped
PC30,0.49612849661415886,0.009896996298437086,0.9163798398131269,duplicate_cleaned_iqr_capped
PC31,0.47230004756281013,0.009421655587979768,0.9258014954011067,duplicate_cleaned_iqr_capped
PC32,0.45554065197966626,0.009087331562687156,0.9348888269637938,duplicate_cleaned_iqr_capped
PC33,0.4245421765356186,0.008468959913365173,0.943357786877159,duplicate_cleaned_iqr_capped
PC34,0.3846997104642956,0.007674164327303215,0.9510319512044622,duplicate_cleaned_iqr_capped
PC35,0.3655605016409491,0.007292366707992128,0.9583243179124543,duplicate_cleaned_iqr_capped
PC36,0.34216718321365325,0.006825706180602257,0.9651500240930566,duplicate_cleaned_iqr_capped
PC37,0.33496149617514115,0.006681963866998949,0.9718319879600555,duplicate_cleaned_iqr_capped
PC38,0.2970314545040604,0.0059253181903645025,0.97775730615042,duplicate_cleaned_iqr_capped
PC39,0.24422998771746232,0.004872010579724634,0.9826293167301446,duplicate_cleaned_iqr_capped
PC40,0.21524039682999968,0.004293713070784013,0.9869230298009286,duplicate_cleaned_iqr_capped
PC41,0.19350756377591574,0.0038601766588288343,0.9907832064597575,duplicate_cleaned_iqr_capped
PC42,0.14553999426379044,0.002903297823715819,0.9936865042834733,duplicate_cleaned_iqr_capped
PC43,0.08647010096585954,0.0017249447976179194,0.9954114490810911,duplicate_cleaned_iqr_capped
PC44,0.06189688341893835,0.0012347471073777907,0.996646196188469,duplicate_cleaned_iqr_capped
PC45,0.052466795163046,0.0010466314292834431,0.9976928276177524,duplicate_cleaned_iqr_capped
PC46,0.04668234637609848,0.0009312406210077376,0.99862406823876,duplicate_cleaned_iqr_capped
PC47,0.044250778689131076,0.0008827346058089549,0.999506802844569,duplicate_cleaned_iqr_capped
PC48,0.013562392341260788,0.00027054875443649094,0.9997773515990055,duplicate_cleaned_iqr_capped
PC49,0.0056570594584412865,0.00011284958816581328,0.9998902011871713,duplicate_cleaned_iqr_capped
PC50,0.005504126534564146,0.00010979881282867651,1.0,duplicate_cleaned_iqr_capped
